filename,viewpoint
image_train/0190_c014_00051260_1.jpg,3
image_train/0186_c009_00035710_0.jpg,3
image_train/0186_c009_00035710_0.jpg,3
image_train/0189_c002_00002800_0.jpg,4
image_train/0184_c016_00017235_0.jpg,3
image_train/0190_c016_00076285_0.jpg,3
image_train/0186_c009_00035730_0.jpg,3
image_train/0184_c015_00016740_0.jpg,3
image_train/0186_c003_00035915_0.jpg,3
image_train/0181_c012_00034775_0.jpg,4
image_train/0184_c015_00016745_0.jpg,3
image_train/0187_c016_00052820_0.jpg,3
image_train/0184_c015_00016755_0.jpg,3
image_train/0193_c001_00069825_1.jpg,4
image_train/0194_c002_00049635_1.jpg,4
image_train/0189_c013_00001450_0.jpg,4
image_train/0194_c002_00022535_1.jpg,3
image_train/0193_c001_00069815_1.jpg,4
image_train/0190_c016_00076275_0.jpg,3
image_train/0185_c009_00042515_0.jpg,3
image_train/0191_c012_00031200_0.jpg,4
image_train/0184_c015_00016760_0.jpg,3
image_train/0193_c016_00073735_0.jpg,3
image_train/0190_c016_00005715_0.jpg,3
image_train/0181_c016_00037265_0.jpg,3
image_train/0189_c002_00002840_0.jpg,4
image_train/0190_c014_00051250_1.jpg,3
image_train/0185_c009_00042530_0.jpg,3
image_train/0193_c016_00073690_0.jpg,3
image_train/0184_c016_00017255_0.jpg,3
image_train/0184_c016_00017250_0.jpg,3
image_train/0185_c009_00042505_0.jpg,3
image_train/0193_c016_00073720_0.jpg,3
image_train/0189_c013_00001430_0.jpg,4
image_train/0191_c013_00031085_0.jpg,0
image_train/0181_c012_00034760_0.jpg,4
image_train/0194_c003_00058575_0.jpg,3
image_train/0190_c016_00076265_0.jpg,3
image_train/0187_c016_00052810_0.jpg,3
image_train/0193_c015_00072015_0.jpg,3
image_train/0194_c003_00058585_0.jpg,3
image_train/0181_c016_00037290_0.jpg,3
image_train/0190_c016_00005720_0.jpg,3
image_train/0181_c001_00034315_0.jpg,4
image_train/0181_c012_00034780_0.jpg,4
image_train/0181_c016_00037235_0.jpg,3
image_train/0193_c015_00071995_0.jpg,3
image_train/0193_c015_00071990_0.jpg,3
image_train/0181_c001_00034340_0.jpg,4
image_train/0187_c016_00052825_0.jpg,3
image_train/0193_c016_00073665_0.jpg,3
image_train/0190_c016_00076270_0.jpg,3
image_train/0186_c003_00035945_0.jpg,3
image_train/0181_c016_00037255_1.jpg,3
image_train/0181_c012_00034785_0.jpg,4
image_train/0193_c016_00073725_0.jpg,3
image_train/0181_c012_00034770_0.jpg,4
image_train/0187_c016_00052805_0.jpg,3
image_train/0184_c015_00016750_0.jpg,3
image_train/0185_c004_00042570_0.jpg,4
image_train/0185_c009_00042525_0.jpg,3
image_train/0181_c016_00037325_0.jpg,3
image_train/0194_c002_00023740_0.jpg,4
image_train/0186_c003_00035930_0.jpg,3
image_train/0190_c016_00076280_0.jpg,3
image_train/0181_c012_00034765_0.jpg,4
image_train/0287_c006_00034080_0.jpg,0
image_train/0290_c006_00028560_0.jpg,4
image_train/0290_c011_00028580_0.jpg,4
image_train/0290_c004_00027660_0.jpg,4
image_train/0293_c004_00000585_0.jpg,4
image_train/0293_c006_00001500_0.jpg,4
image_train/0292_c017_00038195_0.jpg,3
image_train/0289_c002_00049960_0.jpg,4
